week #,date,module,proposed module classification / title,lecture,subtitle,proposed new topic,revised subtitle,rationale,proposed module title,proposed topic,proposed subtitle/description,proposed rationale for the change
1,"Tue, Aug 18","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",Why Is AI a Public and Ethical Issue?,"Frame AI as a technical project shaped by public values, institutions, and ethical choices.",Where Is AI Mediating the World Around Us?,"Map familiar AI systems across everyday life, institutions, infrastructure, and culture to ground the course in concrete examples.","Start with concrete systems students already encounter so the course feels broad and grounded before moving into ethics, knowledge, and intelligence.","Module 1. AI-Mediated World: Purposes, Values, and Questions",Where Is AI Mediating the World Around Us?,"Map AI systems students already encounter across everyday life, institutions, infrastructure, and culture. Introduce the five guiding questions as the analytical frame students will use all semester.","Keep as opening session. Also use it to introduce the 5 guiding questions explicitly so students have the analytical lens from day one."
1,"Thu, Aug 20","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",What Is AI Supposed to Help Us Do?,"Examine how ideas about safety, care, efficiency, creativity, and improvement shape what AI is imagined to be for.",Why Is AI a Public and Ethical Issue?,"Frame AI as a technical project that redistributes visibility, authority, risk, and responsibility in public life.",Move the public/ethical framing after students have mapped the AI-mediated world; this makes the stakes feel less abstract.,"Module 1. AI-Mediated World: Purposes, Values, and Questions",Why Is AI a Public and Ethical Issue?,"Frame AI as a technical project that redistributes visibility, authority, risk, and responsibility in public life.","Keep as proposed. Public/ethical framing motivates the course without requiring students to apply evaluative tools they have not yet learned."
2,"Tue, Aug 25","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence","What Is Knowledge, and How Is It Made?","Examine how evidence, interpretation, institutions, and authority shape what comes to count as knowledge.",What Is AI Supposed to Help Us Do?,"Examine how claims about safety, care, efficiency, creativity, and improvement shape what AI is designed and justified to do.",This keeps the course anchored in human purposes and values before asking how knowledge is produced or automated.,"Module 1. AI-Mediated World: Purposes, Values, and Questions",What Is AI Supposed to Help Us Do?,"Examine how claims about safety, care, efficiency, creativity, and improvement shape what AI is designed and justified to do.","Keep as proposed. Anchors the course in human purposes before mechanism."
2,"Thu, Aug 27","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",What Ethical Lenses Help Us Evaluate AI?,"Introduce utilitarianism, care ethics, deontology, and the common good as practical ways to assess AI systems.",What Ethical Lenses Help Us Evaluate AI?,"Use ethical frameworks to move from personal reaction to structured judgment about benefits, harms, duties, care, and the common good.",Keep this where it is; students need an early vocabulary for taking positions without reducing analysis to personal opinion.,"Module 1. AI-Mediated World: Purposes, Values, and Questions",What Tools Will Help Us Take a Position?,"Preview the five course guiding questions as analytical tools. Introduce ethical frameworks as vocabulary to develop all semester rather than conclusions to reach now.","CHANGE from 'What Ethical Lenses Help Us Evaluate AI?' Students cannot meaningfully apply ethical frameworks before they understand how AI works. Use this session to preview the 5 guiding questions explicitly and introduce ethical frameworks as tools they will develop and apply throughout the course. Move the full applied session to Week 7."
3,"Tue, Sep 1","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence","What Is Learning, and How Does It Happen?","Explore learning as biological, developmental, social, and tool-mediated rather than only individual or computational.","What Is Knowledge, and How Is It Made?","Examine how evidence, interpretation, institutions, and authority shape what counts as knowledge before and after AI enters the scene.","Knowledge fits better before learning: students first ask what counts as knowledge, then how people and systems acquire or produce it.","Module 1. AI-Mediated World: Purposes, Values, and Questions","What Is Knowledge, and How Is It Made?","Examine how evidence, interpretation, institutions, and authority shape what counts as knowledge before and after AI enters the scene.","Keep as proposed."
3,"Thu, Sep 3","Module 1. Ethics, Knowledge, Learning, and Intelligence","Module 1. AI-Mediated World: Purposes, Values, Knowledge, and Intelligence",What Counts as Intelligence?,"Compare human, animal, machine, social, and embodied intelligence and ask what each definition leaves out.","What Is Learning, and How Does It Happen?","Compare biological, developmental, social, tool-mediated, and computational learning to avoid reducing learning to model training.",Consider pushing intelligence into the transition to Module 2 or pairing it with learning; learning is the bridge to machine learning.,"Module 1. AI-Mediated World: Purposes, Values, and Questions","What Is Learning, and How Does It Happen?","Compare biological, developmental, social, tool-mediated, and computational learning to avoid reducing learning to model training.","Keep as proposed."
4,"Tue, Sep 8",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,How Does the World Become Data?,"Introduce sensing, measurement, categories, baselines, proxies, and features as the first step in machine learning.",What Counts as Intelligence?,"Compare human, animal, social, embodied, and machine intelligence while asking what each definition emphasizes or leaves out.","Use this as a hinge: after human/social/biological learning, ask what counts as machine intelligence before datafication begins.","Module 1. AI-Mediated World: Purposes, Values, and Questions",What Counts as Intelligence?,"Compare human, animal, social, embodied, and machine intelligence while asking what each definition emphasizes or leaves out.","Moved into Module 1. This is a definitional question in the same register as 'What Is Knowledge?' and 'What Is Learning?' — all three ask students to examine a concept they think they already understand. Module 2 then opens cleanly with How Does the World Become Data?"
4,"Thu, Sep 10",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,What Gets Built Into the Data?,"Use datasets, proxies, and feature design to ask what assumptions and exclusions are carried into a system.",How Does the World Become Data?,"Introduce sensing, measurement, categories, baselines, proxies, and features as technical and social acts of translation.",Shift datafication here so Module 2 opens with the technical/social process of turning the world into inputs.,Module 2. Technical and Social Mechanisms of Machine Learning,How Does the World Become Data?,"Introduce sensing, measurement, categories, baselines, proxies, and features as technical and social acts of translation.","Keep as proposed."
5,"Tue, Sep 15",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,How Do Machines Learn from Data?,"Introduce models, training, inference, and the basic machine learning pipeline.",What Gets Built Into the Data?,"Use datasets, proxies, and feature design to examine how assumptions, exclusions, histories, and institutional priorities enter AI systems.","Datasets, labels, proxies, and exclusions should precede the model pipeline so students see training data as already social.",Module 2. Technical and Social Mechanisms of Machine Learning,What Gets Built Into the Data?,"Use datasets, proxies, and feature design to examine how assumptions, exclusions, histories, and institutional priorities enter AI systems.","Keep as proposed."
5,"Thu, Sep 17",Module 2. How Do Machines Learn?,Module 2. Technical and Social Mechanisms of Machine Learning,What Kind of Learning Is This?,"Compare supervised, unsupervised, and related learning paradigms without treating them as the same thing.",How Do Machines Learn from Data?,"Introduce models, training, inference, and evaluation as the basic pipeline through which data becomes computational judgment.",Keep the model pipeline before learning paradigms; students need the general pipeline before distinguishing types.,Module 2. Technical and Social Mechanisms of Machine Learning,How Do Machines Learn from Data?,"Introduce models, training, inference, and evaluation as the basic pipeline through which data becomes computational judgment.","Keep as proposed."
